Year,FuelConsumption(L/KM),Kilometres,Doors,Seats,Price,Automatic,Manual,DEMO,NEW,USED,Engine_cyl_num,Engine_total_vol,log_Price,log_Year,log_FuelConsumption(L/KM),log_Kilometres,log_Doors,log_Seats,log_Automatic,log_Manual,log_DEMO,log_NEW,log_USED,log_Engine_cyl_num,log_Engine_total_vol
2003,5.6,192043.0,5,5,5700.0,1,0,0,0,1,4,1.3,8.648221453822641,7.602401335665818,1.7227665977411035,12.165474584268328,1.6094379124341003,1.6094379124341003,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.3862943611198906,0.26236426446749106
2017,8.2,75230.0,2,4,66868.0,1,0,0,0,1,6,3.0,11.11047580582252,7.6093665379542115,2.1041341542702074,11.228305366554267,0.6931471805599453,1.3862943611198906,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.791759469228055,1.0986122886681098
2016,7.9,66943.0,2,4,63747.0,1,0,0,0,1,6,3.0,11.062677403089841,7.60887062919126,2.066862759472976,11.11159679001446,0.6931471805599453,1.3862943611198906,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.791759469228055,1.0986122886681098
2017,5.7,286372.0,4,5,25990.0,1,0,0,0,1,4,2.1,10.165467127635536,7.6093665379542115,1.7404661748405046,12.565046943926154,1.3862943611198906,1.6094379124341003,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.3862943611198906,0.7419373447293773
2016,5.1,73314.0,5,5,36990.0,1,0,0,0,1,4,2.0,10.5184028848265,7.60887062919126,1.62924053973028,11.202506865544578,1.6094379124341003,1.6094379124341003,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.3862943611198906,0.6931471805599453
2001,11.5,286601.0,4,5,5999.0,1,0,0,0,1,6,3.0,8.699348067653093,7.601402334583733,2.4423470353692043,12.565846283553652,1.3862943611198906,1.6094379124341003,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.791759469228055,1.0986122886681098
2021,8.2,9505.0,4,8,63632.0,1,0,0,0,1,4,2.2,11.060871767447471,7.611347717403621,2.1041341542702074,9.15957325492253,1.3862943611198906,2.0794415416798357,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.3862943611198906,0.7884573603642703
2014,6.0,155354.0,5,5,25990.0,1,0,0,0,1,4,2.2,10.165467127635536,7.607878073278507,1.791759469228055,11.95346166279998,1.6094379124341003,1.6094379124341003,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.3862943611198906,0.7884573603642703
2017,8.1,215576.0,4,5,34990.0,0,1,0,0,1,4,2.8,10.462817585361734,7.6093665379542115,2.0918640616783932,12.281068794566579,1.3862943611198906,1.6094379124341003,0.0,0.6931471805599453,0.0,0.0,0.6931471805599453,1.3862943611198906,1.0296194171811581
2012,6.8,233116.0,4,5,9499.0,1,0,0,0,1,4,2.0,9.158941808890182,7.60688453121963,1.916922612182061,12.359291462736866,1.3862943611198906,1.6094379124341003,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.3862943611198906,0.6931471805599453
2021,9.3,6341.0,4,5,35980.0,1,0,0,0,1,4,2.0,10.490718507504525,7.611347717403621,2.2300144001592104,8.754791763700032,1.3862943611198906,1.6094379124341003,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.3862943611198906,0.6931471805599453
2018,7.4,44903.0,4,5,36990.0,1,0,0,0,1,4,2.5,10.5184028848265,7.609862200913554,2.0014800002101243,10.71225988664308,1.3862943611198906,1.6094379124341003,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.3862943611198906,0.9162907318741551
2009,7.1,210530.0,4,5,7499.0,1,0,0,0,1,4,2.0,8.92252495730139,7.605392364814935,1.9600947840472698,12.2573834397646,1.3862943611198906,1.6094379124341003,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.3862943611198906,0.6931471805599453
2022,7.3,14418.0,4,5,53222.0,1,0,0,0,1,4,2.0,10.882227123682771,7.611842399580417,1.9878743481543455,9.576232704964523,1.3862943611198906,1.6094379124341003,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.3862943611198906,0.6931471805599453
2017,9.0,58539.0,4,5,34990.0,1,0,0,0,1,4,2.8,10.462817585361734,7.6093665379542115,2.1972245773362196,10.977448477763108,1.3862943611198906,1.6094379124341003,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.3862943611198906,1.0296194171811581
2012,7.9,263339.0,4,5,21990.0,1,0,0,0,1,6,3.0,9.998343083548807,7.60688453121963,2.066862759472976,12.481197454530907,1.3862943611198906,1.6094379124341003,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.791759469228055,1.0986122886681098
2010,9.3,279630.0,2,2,12800.0,0,1,0,0,1,4,3.0,9.457200449907708,7.605890001053122,2.2300144001592104,12.541222579723312,0.6931471805599453,0.6931471805599453,0.0,0.6931471805599453,0.0,0.0,0.6931471805599453,1.3862943611198906,1.0986122886681098
2018,1.7,36824.0,4,5,39990.0,1,0,0,0,1,4,2.0,10.596384701840863,7.609862200913554,0.5306282510621704,10.513905085497077,1.3862943611198906,1.6094379124341003,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.3862943611198906,0.6931471805599453
