Unnamed: 0,Year,FuelConsumption,Kilometres,Doors,Seats,Price,Automatic,Manual,DEMO,NEW,USED,Engine_cyl_num,Engine_total_vol
8378,2015,7.9,241131.0,4,5,9.783915417395283,1,0,0,0,1,4,2.5
8379,2009,8.9,215000.0,4,7,9.47262771040802,1,0,0,0,1,4,2.4
8380,2021,8.8,61289.0,4,7,10.966265388195021,1,0,0,0,1,4,2.5
8381,2019,7.2,62817.0,4,7,10.441733771878111,1,0,0,0,1,4,2.4
8383,2010,9.3,322249.0,4,5,9.615138591096644,1,0,0,0,1,4,3.0
8384,2013,7.8,146942.0,4,5,9.851509813443416,1,0,0,0,1,4,2.5
8386,2023,8.1,10.0,4,5,10.77645315967191,1,0,0,1,0,4,2.5
8387,2015,6.1,110092.0,2,4,10.239924074233857,1,0,0,0,1,4,2.0
8388,2023,9.9,16.0,4,5,11.302080969243036,1,0,0,1,0,6,3.6
8390,2012,6.8,65600.0,5,5,9.902987427494446,1,0,0,0,1,4,2.0
8391,2008,12.8,190450.0,4,8,9.258177701390343,1,0,0,0,1,6,3.8
8392,2009,9.3,242589.0,4,5,9.103868127465667,1,0,0,0,1,4,2.5
8393,2016,5.7,49878.0,4,5,10.373178632943564,1,0,0,0,1,4,1.6
8394,2012,5.5,137000.0,2,4,9.85166780380633,1,0,0,0,1,4,2.0
8395,2012,8.3,118000.0,4,5,9.38429367909962,1,0,0,0,1,4,2.0
8396,2013,10.4,58622.0,4,7,9.673193497193077,1,0,0,0,1,6,3.6
8399,2019,7.4,73056.0,4,5,9.98736903651683,1,0,0,0,1,4,2.0
8400,2010,10.1,230576.0,4,3,9.546098067659527,0,1,0,0,1,4,2.4
8402,2009,6.7,227452.0,5,5,9.104868739033948,1,0,0,0,1,4,1.5
8403,2018,9.0,67671.0,4,5,10.571060481976643,1,0,0,0,1,4,2.8
8404,2016,6.1,121665.0,5,5,9.851931065621725,1,0,0,0,1,4,1.8
8405,2017,5.9,49473.0,4,5,10.146041497370161,1,0,0,0,1,4,1.4
8406,2015,4.8,48000.0,5,5,9.612466578818832,0,1,0,0,1,4,1.2
8407,2002,0.0,302328.0,4,7,9.798071479779479,1,0,0,0,1,4,3.0
8408,2007,8.5,212599.0,4,5,9.392578591964389,1,0,0,0,1,6,3.0
8409,2022,6.0,11277.0,5,5,10.950631092829045,1,0,0,0,1,4,2.0
8410,2008,9.8,198000.0,4,5,9.679718805828,0,1,0,0,1,4,2.5
8411,2009,11.6,245000.0,4,3,9.543234787249512,0,1,0,0,1,4,2.7
8412,2017,6.6,65340.0,4,5,10.188290484237065,1,0,0,0,1,4,2.5
8413,2018,7.1,37797.0,4,5,10.083723602839061,1,0,0,0,1,4,2.0
8414,2014,5.2,101103.0,4,5,9.998343083548807,1,0,0,0,1,4,2.1
8415,2015,9.0,199675.0,4,7,9.846282078765348,1,0,0,0,1,4,2.4
8416,2018,8.1,168805.0,4,5,10.04107321548869,1,0,0,0,1,4,2.5
8417,2014,7.9,165449.0,5,5,9.2093398716426,1,0,0,0,1,4,1.6
8418,2021,4.2,67182.0,5,5,10.432644132986843,1,0,0,0,1,4,1.8
8419,2007,9.3,347137.0,4,8,10.020826044953361,1,0,0,0,1,4,3.0
8420,2018,6.6,147971.0,4,5,10.163926888594034,1,0,0,0,1,4,2.5
8421,2006,8.9,69563.0,5,5,8.987071812848821,1,0,0,0,1,4,2.0
8422,2011,11.0,158085.0,4,5,9.877656792501606,1,0,0,0,1,6,3.5
8423,2008,9.2,121020.0,4,5,9.61547209118311,0,1,0,0,1,4,2.0
8424,2010,9.1,73875.0,4,5,10.126231023828998,1,0,0,0,1,6,2.5
8425,2015,8.4,151414.0,4,5,9.740380214665977,1,0,0,0,1,4,2.0
8426,2007,10.4,237415.0,4,5,9.679718805828,1,0,0,0,1,4,3.0
8427,2019,7.4,67813.0,4,5,10.950631092829045,1,0,0,0,1,4,2.0
8428,2011,6.0,186851.0,4,5,9.546455401949554,1,0,0,0,1,4,2.0
8429,2010,9.3,164674.0,5,5,9.79757132694458,0,1,0,0,1,5,2.5
8430,2009,9.1,257027.0,4,5,9.998343083548807,0,1,0,0,1,4,2.5
8431,2012,14.0,119191.0,4,5,10.203555107263542,1,0,0,0,1,8,6.1
